,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1849,4,Hangar Isle,Kevin,Hall,20,Son,Single,Male,University Student,None,Methodist
1850,5,Hangar Isle,Kim,Jordan,62,Head,Single,Female,Unemployed,None,Christian
1851,5,Hangar Isle,Carly,Jordan,14,Daughter,NA,Female,Student,None,NA
1852,5,Hangar Isle,Bethany,Jordan,10,Daughter,NA,Female,Student,None,NA
1853,5,Hangar Isle,Antony,Jordan,8,Son,NA,Male,Student,None,NA
1854,5,Hangar Isle,Elizabeth,Jordan,7,Daughter,NA,Female,Student,None,NA
1855,6,Hangar Isle,Heather,Lewis,27,Head,Married,Female,Community development worker,None,None
1856,6,Hangar Isle,Declan,Lewis,29,Husband,Married,Male,Interior and spatial designer,None,None
1857,6,Hangar Isle,Brian,Lewis,0,Son,NA,Male,Child,None,NA
1858,6,Hangar Isle,Bethan,Wilson,52,Lodger,Divorced,Female,"Scientist, forensic",None,None
1859,6,Hangar Isle,Georgina,Jones,41,Lodger,Single,Female,Unemployed,None,Christian
1860,7,Hangar Isle,Anne,West,39,Head,Single,Female,Call centre manager,None,Christian
1861,7,Hangar Isle,Callum,Begum,41,Partner,Single,Male,Marine scientist,None,Christian
1862,7,Hangar Isle,Christine,West,18,Daughter,Divorced,Female,Student,None,None
1863,7,Hangar Isle,Julian,West,14,Son,NA,Male,Student,None,NA
1864,7,Hangar Isle,Beverley,West,13,Daughter,NA,Female,Student,None,NA
1865,8,Hangar Isle,Dawn,Sinclair,52,Head,Married,Female,Immunologist,None,Christian
1866,8,Hangar Isle,Ashley,Sinclair,55,Husband,Married,Male,Hydrologist,None,Christian
1867,8,Hangar Isle,Julian,Sinclair,16,Son,NA,Male,Student,None,NA
1868,8,Hangar Isle,Patricia,Sinclair,16,Daughter,NA,Female,Student,None,NA
1869,8,Hangar Isle,Ronald,Sinclair,16,Son,NA,Male,Student,None,NA
1870,8,Hangar Isle,Jade,Sinclair,16,Daughter,NA,Female,Student,None,NA
1871,8,Hangar Isle,Joshua,Sinclair,12,Son,NA,Male,Student,None,NA
1872,8,Hangar Isle,Ricky,Sinclair,6,Son,NA,Male,Student,None,NA
1873,8,Hangar Isle,Grace,Sinclair,5,Daughter,NA,F,Student,None,NA
1874,8,Hangar Isle,Glenn,Sinclair,4,Son,NA,Male,Child,None,NA
1875,9,Hangar Isle,Barbara,Morton,72,Head,Married,Female,"Retired Conservator, furniture",None,Christian
1876,9,Hangar Isle,Jake,Morton,74,Husband,Married,Male,Retired Equality and diversity officer,None,Christian
1877,9,Hangar Isle,Leslie,Morton,43,Son,Divorced,Male,Archaeologist,None,None
1878,9,Hangar Isle,Cameron,Morton,39,Son,Single,Male,Health and safety adviser,None,None
1879,9,Hangar Isle,Joanne,Morton,39,Daughter,Single,Female,Retail banker,None,None
1880,10,Hangar Isle,Alison,Hargreaves,45,Head,Single,Female,Investment analyst,None,Catholic
1881,10,Hangar Isle,Bernard,Clark,44,Partner,Single,Male,Air broker,None,None
1882,10,Hangar Isle,Megan,Hargreaves,12,Daughter,NA,Female,Student,None,NA
1883,10,Hangar Isle,Elliot,Hargreaves,9,Son,NA,Male,Student,None,NA
1884,10,Hangar Isle,Liam,Hargreaves,5,Son,NA,Male,Student,None,NA
1885,10,Hangar Isle,Lorraine,Hargreaves,0,Daughter,NA,Female,Child,None,NA
1886,10,Hangar Isle,Ronald,Palmer,63,Lodger,Single,Male,Warehouse manager,None,Christian
1887,10,Hangar Isle,Alexander,Griffiths,64,Lodger,Single,Male,Chemical engineer,None,Muslim
1888,10,Hangar Isle,Lauren,Fleming,31,Lodger,Single,Female,Systems analyst,Deaf,Catholic
1889,10,Hangar Isle,Ian,Kirk,27,Lodger,Single,Male,Best boy,None,None
1890,10,Hangar Isle,Billy,Price,60,Lodger,Single,Male,"Sales professional, IT",None,Christian
1891,10,Hangar Isle,Shannon,Ingram,20,Lodger,Single,Female,University Student,None,Methodist
1892,10,Hangar Isle,Leonard,Smith,30,Cousin,Divorced,Male,Theatre stage manager,None,None
1893,10,Hangar Isle,Benjamin,Lee,22,Lodger,Single,Male,University Student,None,None
1894,10,Hangar Isle,Samuel,Berry,32,Sibling,Single,m,Interior and spatial designer,None,Muslim
1895,10,Hangar Isle,Angela,Marshall,19,Lodger,Single,Female,University Student,None,Catholic
1896,10,Hangar Isle,Sarah,Evans,48,Lodger,Single,Female,Dancer,None,Christian
1897,10,Hangar Isle,Lewis,Brookes,55,Lodger,Single,Male,"Programme researcher, broadcasting/film/video",None,Christian
1898,10,Hangar Isle,Roy,Jones,20,Sibling,Single,Male,University Student,None,Christian
1899,11,Hangar Isle,Sheila,Russell,63,Head,Single,Female,"Lighting technician, broadcasting/film/video",None,Christian
1900,11,Hangar Isle,George,Russell-Smith,65,Partner,Single,Male,"Engineer, production",None,Christian
1901,11,Hangar Isle,Angela,Russell-Smith,24,Daughter,Divorced,Female,"Psychologist, forensic",None,None
1902,11,Hangar Isle,Richard,Russell-Smith,20,Son,Single,Male,University Student,None,Christian
1903,11,Hangar Isle,Marion,Russell-Smith,13,Daughter,NA,Female,Student,None,NA
1904,12,Hangar Isle,Carole,O'Connor,53,Head,Married,Female,"Lighting technician, broadcasting/film/video",None,Christian
1905,12,Hangar Isle,Cameron,O'Connor,54,Husband,Married,Male,Proofreader,None,Christian
1906,12,Hangar Isle,Linda,Lloyd,70,Cousin,Widowed,Female,Retired Waste management officer,None,Christian
1907,12,Hangar Isle,Mark,Short,60,Cousin,Single,Male,"Geologist, wellsite",None,Christian
1908,12,Hangar Isle,Kerry,Gibson,59,Cousin,Single,Female,"Presenter, broadcasting",None,Christian
1909,12,Hangar Isle,Mohammed,Smith,66,Cousin,Divorced,Male,"Psychotherapist, dance movement",None,Christian
1910,12,Hangar Isle,Jamie,O'Sullivan,64,Cousin,Single,Male,Broadcast presenter,None,None
1911,12,Hangar Isle,Judith,Edwards,67,Cousin,Divorced,f,"Surveyor, hydrographic",None,None
1912,12,Hangar Isle,Georgia,Sykes,55,Cousin,Single,Female,"Psychotherapist, child",None,Christian
1913,12,Hangar Isle,Chloe,Sykes,64,Cousin,Single,Female,Unemployed,None,Christian
1914,12,Hangar Isle,Shirley,Sykes,65,Cousin,Widowed,Female,Magazine journalist,None,None
1915,12,Hangar Isle,Irene,Sykes,52,Cousin,Divorced,Female,Field trials officer,None,Christian
1916,12,Hangar Isle,Carolyn,Sykes,58,Cousin,Divorced,Female,Tourism officer,None,Christian
1917,12,Hangar Isle,Jason,Young,59,Cousin,Divorced,Male,"Designer, exhibition/display",None,Christian
1918,12,Hangar Isle,Mitchell,Young,65,Cousin,Single,Male,Public relations officer,None,Christian
1919,12,Hangar Isle,Julie,Young,51,Cousin,Single,Female,Occupational psychologist,None,Christian
1920,12,Hangar Isle,Brett,Young,57,Cousin,Single,Male,Production manager,None,Christian
1921,12,Hangar Isle,Christine,Rhodes-Young,68,Cousin,Widowed,f,Retired Agricultural engineer,None,None
1922,12,Hangar Isle,Olivia,Carr-Rhodes-Young,57,Cousin,Single,Female,Musician,None,None
1923,12,Hangar Isle,Wendy,Murphy,61,Cousin,Divorced,Female,Event organiser,None,Christian
1924,12,Hangar Isle,Ryan,Murphy,61,Cousin,Single,Male,"Pharmacist, community",None,Christian
1925,13,Hangar Isle,Maureen,Coles,71,Head,Married,Female,Retired Analytical chemist,None,Methodist
1926,13,Hangar Isle,Steven,Coles-Davidson,72,Husband,Married,Male,Retired Public affairs consultant,None,Methodist
1927,13,Hangar Isle,John,Coles-Davidson,39,Son,Single,Male,Educational psychologist,None,Methodist
1928,13,Hangar Isle,Jean,Coles-Davidson,35,Daughter,Single,Female,Equities trader,None,None
1929,13,Hangar Isle,Stanley,Coles-Davidson,33,Son,Single,Male,Furniture conservator/restorer,None,Methodist
1930,14,Hangar Isle,Debra,Green,26,Head,Married,Female,Geoscientist,None,Catholic
1931,14,Hangar Isle,Damien,Green,32,Husband,Married,Male,Therapeutic radiographer,None,Catholic
1932,14,Hangar Isle,Elaine,Green,4,Daughter,NA,Female,Child,None,NA
1933,14,Hangar Isle,Ross,Green,3,Son,NA,Male,Child,None,NA
1934,14,Hangar Isle,Shirley,Green,0,Daughter,NA,Female,Child,None,NA
1935,15,Hangar Isle,Melissa,Riley,55,Head,Married,Female,Web designer,None,None
1936,15,Hangar Isle,Adam,Riley,58,Husband,Married,Male,Community pharmacist,None,None
1937,15,Hangar Isle,Jane,Riley,19,Daughter,Single,Female,Unemployed,None,None
1938,15,Hangar Isle,John,Riley,17,Son,NA,Male,Student,None,NA
1939,15,Hangar Isle,Barbara,Riley,14,Daughter,NA,Female,Student,None,NA
1940,16,Hangar Isle,Megan,Cox,56,Head,Single,Female,"Physicist, medical",None,None
1941,16,Hangar Isle,Luke,Willis,56,Partner,Single,Male,Clinical psychologist,None,None
1942,16,Hangar Isle,Tina,Cox,19,Daughter,Single,Female,University Student,None,None
1943,16,Hangar Isle,Wayne,Cox,17,Son,NA,male,Student,None,NA
1944,16,Hangar Isle,Georgina,Cox,14,Daughter,NA,Female,Student,None,NA
1945,17,Hangar Isle,Mary,Watts,49,Head,Married,Female,Forensic scientist,None,Catholic
1946,17,Hangar Isle,Andrew,Watts,50,Husband,Married,Male,"Scientist, water quality",None,None
1947,17,Hangar Isle,Cameron,Watts,17,Adopted Son,NA,Male,Student,None,NA
1948,17,Hangar Isle,Stuart,Watts,17,Son,NA,Male,Student,None,NA
1949,17,Hangar Isle,Melanie,Watts,16,Daughter,NA,Female,Student,None,NA
1950,18,Hangar Isle,Carole,Atkinson,74,Head,Married,Female,Retired Phytotherapist,None,None
1951,18,Hangar Isle,Jeffrey,Atkinson,80,Husband,Married,Male,Retired Media buyer,None,None
1952,18,Hangar Isle,Joyce,Atkinson,43,Daughter,Divorced,Female,English as a second language teacher,None,None
1953,18,Hangar Isle,Phillip,Atkinson,40,Son,Divorced,Male,"Surveyor, minerals",None,None
1954,18,Hangar Isle,Amanda,Atkinson,34,Adopted Daughter,Divorced,Female,Tour manager,None,None
1955,18,Hangar Isle,Julia,Atkinson,30,Daughter,Single,Female,Fisheries officer,None,None
1956,19,Hangar Isle,Jade,Murray,44,Head,Married,Female,"Designer, graphic",None,Catholic
1957,19,Hangar Isle,Douglas,Murray,43,Husband,Married,Male,Immunologist,None,Catholic
1958,19,Hangar Isle,Simon,Murray,7,Son,NA,Male,Student,None,NA
1959,19,Hangar Isle,Aimee,Murray,5,Daughter,NA,Female,Student,None,NA
1960,19,Hangar Isle,Mandy,Murray,5,Daughter,NA,Female,Student,None,NA
1961,1,Allen Crossroad,Francesca,Middleton,40,Head,Single,Female,Warehouse manager,None,None
1962,1,Allen Crossroad,Aaron,White,47,Partner,Single,Male,Secretary/administrator,None,None
1963,2,Allen Crossroad,Ruth,Wilson,48,Head,Married,Female,Colour technologist,None,Catholic
1964,2,Allen Crossroad,Tony,Wilson,49,Husband,Married,Male,Unemployed,None,Catholic
1965,2,Allen Crossroad,William,Wilson,12,Son,NA,Male,Student,None,NA
1966,2,Allen Crossroad,Ashleigh,Wilson,10,Daughter,NA,Female,Student,None,NA
1967,3,Allen Crossroad,Matthew,Robinson,57,Head,Married,Male,Cytogeneticist,None,Christian
1968,3,Allen Crossroad,Emily,Robinson,55,Wife,Married,Female,"Radiographer, diagnostic",None,Christian
1969,3,Allen Crossroad,Stephen,Morgan,4,Grandson,NA,Male,Child,None,NA
1970,3,Allen Crossroad,Clive,Green,54,Lodger,Single,Male,General practice doctor,None,Christian
1971,4,Allen Crossroad,Hannah,Edwards,48,Head,Divorced,Female,Unemployed,None,None
1972,4,Allen Crossroad,Jill,Edwards,11,Daughter,NA,Female,Student,None,NA
1973,4,Allen Crossroad,Edward,Edwards,9,Son,NA,Male,Student,Unknown Infection,NA
1974,4,Allen Crossroad,Steven,Edwards,6,Son,NA,Male,Student,None,NA
1975,5,Allen Crossroad,Stacey,Ellis,43,Head,Single,Female,TEFL teacher,None,None
1976,5,Allen Crossroad,Clifford,White,45,Partner,Single,Male,"Conservator, museum/gallery",None,None
1977,5,Allen Crossroad,Mohammad,Ellis,14,Son,NA,Male,Student,None,NA
1978,6,Allen Crossroad,Abbie,Wells,60,Head,Married,Female,Research scientist (life sciences),None,Christian
1979,6,Allen Crossroad,Patrick,Wells,64,Husband,Married,Male,Chartered legal executive (England and Wales),None,None
1980,6,Allen Crossroad,Stephen,Wells,15,Son,NA,Male,Student,None,NA
1981,7,Allen Crossroad,Joanna,Arnold,42,Head,Single,Female,Electrical engineer,None,None
1982,7,Allen Crossroad,Joshua,Jones,55,Partner,Single,Male,"Investment banker, corporate",None,None
1983,7,Allen Crossroad,Pauline,Arnold,9,Daughter,NA,Female,Student,None,NA
1984,8,Allen Crossroad,Mandy,Khan,20,Head,Widowed,Female,University Student,None,Catholic
1985,9,Allen Crossroad,Kim,Woods,54,Head,Married,Female,Air cabin crew,None,Christian
1986,9,Allen Crossroad,Keith,Woods,64,Husband,Married,Male,Analytical chemist,None,None
1987,9,Allen Crossroad,Charlie,Woods,15,Son,NA,Male,Student,None,NA
1988,10,Allen Crossroad,Sarah,Morris,46,Head,Divorced,Female,Unemployed,None,Christian
1989,10,Allen Crossroad,Heather,Morris,20,Daughter,Divorced,Female,University Student,None,Christian
1990,10,Allen Crossroad,Julian,Morris,17,Son,NA,Male,Student,None,NA
1991,10,Allen Crossroad,Caroline,Morris,13,Daughter,NA,Female,Student,None,NA
1992,11,Allen Crossroad,Marian,Nolan,47,Head,Single,Female,IT sales professional,None,None
1993,11,Allen Crossroad,Alexander,Hamilton,46,Partner,Single,Male,Unemployed,None,None
1994,11,Allen Crossroad,Kenneth,Nolan,20,Son,Single,Male,University Student,None,None
1995,11,Allen Crossroad,Kathryn,Humphreys,12,Daughter,NA,Female,Student,None,NA
1996,11,Allen Crossroad,Anne,Humphreys,9,Daughter,NA,Female,Student,None,NA
1997,11,Allen Crossroad,Phillip,Humphreys,7,Son,NA,Male,Student,None,NA
1998,11,Allen Crossroad,Leah,Humphreys,7,Daughter,NA,Female,Student,None,NA
1999,12,Allen Crossroad,Vanessa,Taylor,50,Head,Married,Female,Clinical cytogeneticist,None,Christian
2000,12,Allen Crossroad,Jack,Taylor,46,Husband,Married,Male,Sport and exercise psychologist,None,None
2001,12,Allen Crossroad,Julian,Baker,6,Grandson,NA,Male,Student,None,NA
2002,12,Allen Crossroad,Abigail,Hughes,3,Granddaughter,NA,Female,Child,None,NA
2003,12,Allen Crossroad,Molly,Chapman,1,Granddaughter,NA,f,Child,None,NA
2004,13,Allen Crossroad,Carolyn,Williams,77,Head,Divorced,Female,Unemployed,None,None
2005,13,Allen Crossroad,Neil,Williams,35,Son,Divorced,Male,Clinical psychologist,None,None
2006,13,Allen Crossroad,Jasmine,Williams,31,Daughter,Single,Female,Futures trader,None,None
2007,13,Allen Crossroad,Martin,Williams,29,Son,Single,Male,"Engineer, materials",None,None
2008,13,Allen Crossroad,John,Williams,27,Son,Divorced,Male,Research scientist (life sciences),None,None
2009,13,Allen Crossroad,Louise,Williams,23,Daughter,Single,Female,Unemployed,None,None
2010,13,Allen Crossroad,Adrian,Williams,22,Son,Divorced,Male,University Student,None,None
2011,14,Allen Crossroad,Carly,Jones,24,Head,Single,Female,"Sound technician, broadcasting/film/video",None,None
2012,14,Allen Crossroad,Raymond,Price,19,None,Single,Male,University Student,None,None
2013,14,Allen Crossroad,Natalie,Barnett,41,None,Single,Female,"Conservation officer, nature",None,None
2014,14,Allen Crossroad,Pamela,Akhtar,35,None,Single,Female,Educational psychologist,None,Christian
2015,14,Allen Crossroad,Dale,Perkins,19,None,Single,Male,University Student,None,Methodist
2016,15,Allen Crossroad,Rachel,Harding,34,Head,Single,Female,"Doctor, general practice",None,Methodist
2017,15,Allen Crossroad,Martyn,Harding,3,Son,NA,Male,Child,None,NA
2018,15,Allen Crossroad,Jeffrey,Bryant,56,Lodger,Single,Male,Structural engineer,None,None
2019,16,Allen Crossroad,Francesca,Ward,40,Head,Single,Female,Therapeutic radiographer,None,None
2020,16,Allen Crossroad,Gail,Ward,13,Daughter,NA,Female,Student,None,NA
2021,16,Allen Crossroad,Sandra,Ward,12,Daughter,NA,Female,Student,None,NA
2022,17,Allen Crossroad,Jay,Bryant,81.44800341,Head,Married,Male,Retired Chiropractor,None,Christian
2023,17,Allen Crossroad,Sylvia,Bryant,78.44800341,Wife,Married,Female,Retired Translator,None,None
2024,17,Allen Crossroad,Karen,Dickinson,5,Granddaughter,NA,Female,Student,None,NA
2025,18,Allen Crossroad,Anthony,Farrell,56,Head,Divorced,Male,Dance movement psychotherapist,None,Christian
2026,19,Allen Crossroad,Clive,Harrison,23,Head,Single,Male,"Secretary, company",None,Catholic
2027,19,Allen Crossroad,Ellie,Sutton,21,Partner,Single,Female,University Student,None,None
2028,20,Allen Crossroad,Gemma,Burke,39,Head,Married,Female,Transport planner,None,Methodist
2029,20,Allen Crossroad,Mathew,Burke,43,Husband,Married,Male,Retail buyer,None,Methodist
2030,20,Allen Crossroad,Richard,Burke,11,Son,NA,Male,Student,None,NA
2031,20,Allen Crossroad,Louis,Burke,8,Son,NA,Male,Student,None,NA
2032,21,Allen Crossroad,Anthony,Butler,37,Head,Married,Male,Diagnostic radiographer,None,None
2033,21,Allen Crossroad,Derek,Butler,33,Husband,Married,Male,Tree surgeon,None,None
2034,21,Allen Crossroad,Denise,Khan,19,Visitor,Divorced,Female,University Student,None,Christian
2035,22,Allen Crossroad,Lindsey,Williams,58,Head,Single,Female,Retail manager,None,None
2036,22,Allen Crossroad,Joseph,Burton,43,None,Single,Male,Personnel officer,None,Christian
2037,22,Allen Crossroad,Terry,Scott,52,None,Single,Male,"Engineer, biomedical",None,Christian
2038,23,Allen Crossroad,Derek,Graham,69,Head,Married,Male,Retired Data scientist,None,Catholic
2039,23,Allen Crossroad,Eleanor,Graham,69,Wife,Married,female,"Retired Civil engineer, contracting",None,Catholic
2040,24,Allen Crossroad,Clive,Johnson,48,Head,Single,Male,"Production assistant, television",None,None
2041,25,Allen Crossroad,Eileen,Jones,42,Head,Single,Female,"Lecturer, higher education",None,None
2042,25,Allen Crossroad,Steven,Mason,44,Partner,Single,Male,"Engineer, manufacturing systems",None,None
2043,25,Allen Crossroad,Ricky,Jones,20,Son,Single,Male,University Student,None,None
2044,25,Allen Crossroad,Jessica,Jones,10,Daughter,NA,Female,Student,None,NA
2045,25,Allen Crossroad,Geoffrey,Jones,6,Son,NA,Male,Student,None,NA
2046,26,Allen Crossroad,Philip,Smith,37,Head,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,Catholic
2047,26,Allen Crossroad,Amanda,Smith,12,Daughter,NA,Female,Student,None,NA
2048,26,Allen Crossroad,Francis,Smith,2,Son,NA,Male,Child,None,NA
2049,27,Allen Crossroad,Brenda,Carter,65,Head,Married,Female,Clothing/textile technologist,None,Christian
2050,27,Allen Crossroad,Marc,Carter,67,Husband,Married,m,"Designer, interior/spatial",None,Christian
2051,27,Allen Crossroad,Christian,Carter,30,Son,Single,Male,Radio producer,None,None
2052,28,Allen Crossroad,Angela,Campbell,47,Head,Married,Female,IT sales professional,None,Catholic
2053,28,Allen Crossroad,Darren,Campbell,46,Husband,Married,Male,"Engineer, control and instrumentation",None,Catholic
2054,28,Allen Crossroad,Zoe,Campbell,16,Daughter,NA,Female,Student,None,NA
2055,29,Allen Crossroad,Geoffrey,Watson,83,Head,Married,Male,Retired Medical physicist,None,Christian
2056,29,Allen Crossroad,Kerry,Watson,80,Wife,Married,Female,Retired Waste management officer,None,Christian
2057,30,Allen Crossroad,Gerald,Page,57,Head,Married,Male,"Accountant, chartered management",None,Catholic
2058,30,Allen Crossroad,Teresa,Page,55,Wife,Married,Female,Training and development officer,None,Catholic
2059,30,Allen Crossroad,Philip,Page,29,Son,Single,Male,Metallurgist,None,None
2060,30,Allen Crossroad,Sean,Page,29,Son,Single,m,Town planner,None,None
2061,30,Allen Crossroad,Norman,Page,29,Son,Single,Male,Unemployed,None,Catholic
2062,31,Allen Crossroad,Janet,Saunders,52,Head,Married,Female,Clinical embryologist,None,Christian
2063,31,Allen Crossroad,Leslie,Saunders,52,Husband,Married,Male,Unemployed,None,Christian
2064,31,Allen Crossroad,Ellie,Saunders,34,Daughter,Single,Female,Publishing copy,None,None
2065,31,Allen Crossroad,Darren,Saunders,28,Son,Divorced,Male,"Psychotherapist, dance movement",None,Christian
2066,32,Allen Crossroad,Charlene,Davies,78,Head,Widowed,Female,Retired Tax inspector,None,Christian
2067,33,Allen Crossroad,Lorraine,Evans,59,Head,Married,Female,Probation officer,None,Christian
2068,33,Allen Crossroad,Kyle,Evans,57,Husband,Married,Male,Toxicologist,None,Christian
2069,33,Allen Crossroad,Lindsey,Evans,32,Daughter,Divorced,Female,Data processing manager,None,Christian
2070,34,Allen Crossroad,Trevor,Ellis,32,Head,Married,Male,Metallurgist,None,Methodist
2071,34,Allen Crossroad,Amelia,Ellis,32,Wife,Married,Female,"Administrator, charities/voluntary organisations",None,None
2072,34,Allen Crossroad,Kieran,Ellis,14,Son,NA,Male,Student,None,NA
2073,34,Allen Crossroad,Katy,Pugh-Ellis,13,Daughter,NA,Female,Student,None,NA
2074,35,Allen Crossroad,Carole,Allen,43,Head,Single,Female,"Engineer, electrical",None,None
2075,35,Allen Crossroad,Jean,Allen,18,Daughter,Single,F,Student,None,None
2076,35,Allen Crossroad,Josh,Allen,18,Son,Single,Male,Student,None,None
2077,36,Allen Crossroad,Angela,Davis,39,Head,Married,Female,Oncologist,None,Catholic
2078,36,Allen Crossroad,Paul,Davis,41,Husband,Married,Male,Immigration officer,None,Catholic
2079,36,Allen Crossroad,Raymond,Davis,9,Son,NA,Male,Student,None,NA
2080,37,Allen Crossroad,Philip,Cole,32,Head,Divorced,Male,Waste management officer,None,Catholic
2081,37,Allen Crossroad,Lawrence,Cole,1,Son,NA,Male,Child,None,NA
2082,37,Allen Crossroad,Claire,Porter,23,Visitor,Single,Female,Phytotherapist,None,Sikh
2083,37,Allen Crossroad,Aaron,Wilson,31,Visitor,Single,Male,Retail manager,None,Muslim
2084,38,Allen Crossroad,Nicola,Kelly,62,Head,Single,Female,Unemployed,None,Christian
2085,38,Allen Crossroad,Brandon,Giles-Kelly,33,Son,Single,Male,Local government officer,None,Christian
2086,38,Allen Crossroad,Shaun,Giles-Kelly,28,Son,Divorced,Male,Unemployed,None,Christian
2087,38,Allen Crossroad,Glen,Giles-Kelly,28,Son,Divorced,Male,Higher education lecturer,None,Christian
2088,38,Allen Crossroad,Beth,Giles-Kelly,28,Daughter,Single,Female,Civil Service fast streamer,None,Christian
2089,39,Allen Crossroad,Samuel,Ward,44,Head,Single,Male,Sub,None,Catholic
2090,40,Allen Crossroad,Carol,Jones,37,Head,Married,Female,"Doctor, general practice",None,None
2091,40,Allen Crossroad,Mark,Jones,43,Husband,Married,Male,"Surveyor, building",None,None
2092,40,Allen Crossroad,Owen,Jones,10,Son,NA,Male,Student,None,NA
2093,40,Allen Crossroad,Vincent,Jones,5,Son,NA,Male,Student,None,NA
2094,41,Allen Crossroad,Rachael,Watson,49,Head,Married,Female,"Geneticist, molecular",None,None
2095,41,Allen Crossroad,Kyle,Watson,54,Husband,Married,Male,Museum education officer,None,None
2096,41,Allen Crossroad,Jean,Watson,17,Daughter,NA,f,Student,None,NA
2097,42,Allen Crossroad,Louise,Holloway-Smith,61,Head,Married,Female,"Engineer, electronics",None,Catholic
2098,42,Allen Crossroad,Aaron,Holloway-Smith,55,Husband,Married,m,Data processing manager,None,Catholic
2099,42,Allen Crossroad,Ashley,Holloway-Smith,37,Son,Single,Male,"Designer, fashion/clothing",None,Catholic
2100,42,Allen Crossroad,Molly,Holloway-Smith,34,Daughter,Divorced,Female,Broadcast journalist,None,Catholic
2101,43,Allen Crossroad,Victoria,Quinn,51,Head,Divorced, ,Unemployed,None,None
2102,43,Allen Crossroad,Callum,Quinn,13,Son,NA,Male,Student,None,NA
2103,43,Allen Crossroad,Danielle,Quinn,11,Daughter,NA,Female,Student,None,NA
2104,44,Allen Crossroad,Sophie,Smith,42,Head,Single,Female,Health and safety inspector,None,None
2105,44,Allen Crossroad,Jodie,Smith,15,Daughter,NA,Female,Student,None,NA
2106,44,Allen Crossroad,Jason,Smith,14,Son,NA,Male,Student,None,NA
2107,44,Allen Crossroad,Leon,Smith,12,Son,NA,Male,Student,None,NA
2108,45,Allen Crossroad,Megan,Bennett,33,Head,Divorced,Female,Unemployed,None,None
2109,45,Allen Crossroad,Julie,Bennett,6,Daughter,NA,F,Student,None,NA
2110,45,Allen Crossroad,Charlotte,Kaur,48,Lodger,Divorced,Female,Cytogeneticist,None,Christian
2111,46,Allen Crossroad,Stewart,Talbot,42,Head,Married,Male,Ceramics designer,None,Catholic
2112,46,Allen Crossroad,Valerie,Talbot,38,Wife,Married,Female,Unemployed,None,None
2113,46,Allen Crossroad,Teresa,Talbot,5,Daughter,NA,Female,Student,None,NA
2114,47,Allen Crossroad,Fiona,Green,39,Head,Married,Female,"Psychologist, occupational",None,Catholic
2115,47,Allen Crossroad,Donald,Green,39,Husband,Married,Male,"Scientist, audiological",None,Catholic
2116,47,Allen Crossroad,Marilyn,Green,16,Daughter,NA,Female,Student,None,NA
2117,47,Allen Crossroad,Diane,Green,9,Daughter,NA,Female,Student,None,NA
2118,47,Allen Crossroad,Bernard,Green,5,Son,NA,Male,Student,None,NA
2119,48,Allen Crossroad,Thomas,Mahmood,62,Head,Single,Male,Corporate investment banker,None,Christian
2120,48,Allen Crossroad,Marie,Holt,25,None,Single,Female,Counselling psychologist,None,None
2121,49,Allen Crossroad,Alex,McDonald,51,Head,Divorced,male,Unemployed,None,Christian
2122,49,Allen Crossroad,Olivia,McDonald,12,Daughter,NA,Female,Student,None,NA
2123,49,Allen Crossroad,Barry,McDonald,12,Son,NA,Male,Student,None,NA
2124,50,Allen Crossroad,Teresa,Jones,44,Head,Divorced,Female,Unemployed,None,None
2125,50,Allen Crossroad,Gerard,Jones,15,Son,NA,Male,Student,None,NA
2126,50,Allen Crossroad,Gavin,Jones,15,Son,NA,Male,Student,None,NA
2127,51,Allen Crossroad,Sarah,Hill,45,Head,Single,Female,Unemployed,None,None
2128,51,Allen Crossroad,Teresa,Hill,1,Daughter,NA,Female,Child,None,NA
2129,51,Allen Crossroad,Carl,Hill,1,Son,NA,Male,Child,None,NA
2130,51,Allen Crossroad,Peter,Morgan,44,Lodger,Single,Male,Futures trader,None,Catholic
2131,51,Allen Crossroad,Louise,Davies,23,Lodger,Divorced,Female,Computer games developer,None,None
2132,52,Allen Crossroad,Richard,Ryan,67,Head,Married,Male,"Runner, broadcasting/film/video",None,Christian
2133,52,Allen Crossroad,Gail,Ryan,65,Wife,Married,Female,"Geologist, engineering",None,None
2134,52,Allen Crossroad,Leanne,Kennedy,9,Granddaughter,NA,Female,Student,None,NA
2135,52,Allen Crossroad,Mitchell,Kennedy,5,Grandson,NA,Male,Student,None,NA
2136,53,Allen Crossroad,Douglas,Adams,20,Head,Married,Male,University Student,None,Catholic
2137,53,Allen Crossroad,Patricia,Adams,20,Wife,Married,Female,University Student,None,None
2138,53,Allen Crossroad,Bethany,Adams,3,Daughter,NA,Female,Child,None,NA
2139,54,Allen Crossroad,Anthony,Roberts,61,Head,Single,Male,Sports administrator,None,Christian
2140,54,Allen Crossroad,Joanne,Ingram,55,Partner,Single,Female,Best boy,None,Christian
2141,55,Allen Crossroad,Lindsey,Phillips,17,Head,Married,Female,Student,None,NA
2142,55,Allen Crossroad,Leslie,Phillips,20,Husband,Married,Male,University Student,None,NA
2143,55,Allen Crossroad,Catherine,Phillips,0,Daughter,NA,Female,Child,None,NA
